id,residence_name,council_id
182,"Mtaa wa Mahakamani, Sekei, Themi, Arusha CC",4
183,"Naura, Sekei, Themi, Arusha CC",4
184,"Goliondoi, Sekei, Themi, Arusha CC",4
188,"Imbibia, Mwandet, Mukulat, Arusha DC",185
192,"Losikito, Mwandet, Mukulat, Arusha DC",185
197,"Engalaoni, Mwandet, Mukulat, Arusha DC",185
201,"Engurtoto, Mwandet, Mukulat, Arusha DC",185
207,"Olkejulenderit, Olkokola, Mukulat, Arusha DC",185
211,"Ilkurot, Olkokola, Mukulat, Arusha DC",185
214,"Lengijave, Olkokola, Mukulat, Arusha DC",185
220,"Lemanyata, Lemanyata, Mukulat, Arusha DC",185
224,"Olkokola, Lemanyata, Mukulat, Arusha DC",185
229,"Lenjani, Lemanyata, Mukulat, Arusha DC",185
233,"Oldonyosambu, Oldonyosambu, Mukulat, Arusha DC",185
237,"Lemong'o, Oldonyosambu, Mukulat, Arusha DC",185
241,"Lemanda, Oldonyosambu, Mukulat, Arusha DC",185
246,"Oldonyowass, Oldonyowass, Mukulat, Arusha DC",185
251,"Losinoni, Oldonyowass, Mukulat, Arusha DC",185
255,"Engutukoit, Oldonyowass, Mukulat, Arusha DC",185
260,"Losinoni juu, Oldonyowass, Mukulat, Arusha DC",185
264,"Engorora, Kisongo, Mukulat, Arusha DC",185
268,"Ilkerin, Kisongo, Mukulat, Arusha DC",185
272,"Lesiraa, Kisongo, Mukulat, Arusha DC",185
277,"Lovilukuny, Kisongo, Mukulat, Arusha DC",185
281,"Ngorbob, Mateves, Mukulat, Arusha DC",185
287,"Lemugur, Mateves, Mukulat, Arusha DC",185
292,"Laroi, Laroi, Mukulat, Arusha DC",185
296,"Enjoro, Laroi, Mukulat, Arusha DC",185
299,"Kisima Cha Mungu, Laroi, Mukulat, Arusha DC",185
304,"Bangata, Bangata, Moshono, Arusha DC",185
308,"Midawe, Bangata, Moshono, Arusha DC",185
311,"Sasi, Bangata, Moshono, Arusha DC",185
316,"Sokon II, Sokon II, Moshono, Arusha DC",185
322,"Oldadai, Sokon II, Moshono, Arusha DC",185
327,"Ngires, Sokon II, Moshono, Arusha DC",185
335,"Sekei, Kiutu, Moshono, Arusha DC",185
341,"Naurei, Kiutu, Moshono, Arusha DC",185
345,"Engorika, Kiutu, Moshono, Arusha DC",185
350,"Olgilai, Kiutu, Moshono, Arusha DC",185
355,"Mlangarini, Mlangarini, Moshono, Arusha DC",185
359,"Kiserian, Mlangarini, Moshono, Arusha DC",185
369,"Manyire, Mlangarini, Moshono, Arusha DC",185
375,"Nduruma, Nduruma, Moshono, Arusha DC",185
380,"Samaria, Nduruma, Moshono, Arusha DC",185
385,"Marurani, Nduruma, Moshono, Arusha DC",185
391,"Maji Moto, Nduruma, Moshono, Arusha DC",185
396,"Bwawani, Bwawani, Moshono, Arusha DC",185
403,"Themi ya Simba, Bwawani, Moshono, Arusha DC",185
407,"Mungushi, Bwawani, Moshono, Arusha DC",185
412,"Kigongoni, Bwawani, Moshono, Arusha DC",185
417,"Oloitushula, Musa, Enaboishu, Arusha DC",185
421,"Nengung'u, Musa, Enaboishu, Arusha DC",185
424,"Olchorovus, Musa, Enaboishu, Arusha DC",185
428,"Likamba, Musa, Enaboishu, Arusha DC",185
435,"Mirongoine, Oljoro, Enaboishu, Arusha DC",185
439,"Oljoro, Oljoro, Enaboishu, Arusha DC",185
443,"Mbuyuni, Oljoro, Enaboishu, Arusha DC",185
449,"Olmuringaringa, Kimnyaki, Enaboishu, Arusha DC",185
454,"Olovolos, Kimnyaki, Enaboishu, Arusha DC",185
